,Ticker,Beta
708,گوهرانح,5.8787359575251195
360,وتوکاح,3.2683121664681702
44,وحافظح,2.410933908600085
300,خموتورح,2.2908884402338567
550,شملی,2.083286812724108
15,شسینا,1.9776206532284206
97,دتولید,1.9679005644473548
488,ثشاهد,1.8884821971600876
581,شفارس,1.8467677008034917
311,کاما,1.8110240018603976
348,پترول,1.725064192377647
557,کسرا,1.694251288424112
855,ختراکح,1.6619417829019998
465,کماسه,1.6525878753204821
481,رافزاح,1.6467369971204704
832,اخابر,1.6285859460019325
609,حآسا,1.6230268988311871
476,پتایر,1.6156645848069335
149,کرمان,1.6001030003424073
125,بترانس,1.5984512689697983
679,اهرم,1.560290123633661
905,وتوس,1.555967500373491
74,فسرب,1.5522065688052933
692,فروی,1.5495757705183602
738,ثالوند,1.5463280200485336
237,زگلدشت,1.541734720964715
735,توان,1.5374283801542696
868,انرژی,1.535961845009814
296,قشیر,1.5298990959814547
571,سمگا,1.5172186777727543
528,ولساپا,1.5164580453462357
188,پالایش,1.51576789137801
455,چخزر,1.5148988092604876
482,ختوقا,1.5131925041887602
436,ونیرو,1.5087513665732402
253,حریل,1.5071570004494386
782,کمرجان,1.4944617693050375
401,بورس,1.4840654329339595
128,شاوان,1.471022548568506
55,برکت,1.4684348140238441
641,وساخت,1.4683161639918687
824,غپینو,1.467629266484949
781,تلیسه,1.4663753404274416
381,وبیمه,1.465612259610335
861,کالا,1.4648593099876903
209,خگستر,1.461255743913497
687,چدن,1.4606425064060726
602,غویتا,1.4605905915999662
184,فرابورس,1.460390098399972
580,تکمبا,1.4596865098315233
821,ثعمرا,1.4571255868215656
492,خنصیر,1.455157023383046
37,دارا یکم,1.45406213477002
210,شفن,1.449481403155891
166,غشهداب,1.4456677143142898
682,خمحرکه,1.4413712948859747
802,شوینده,1.4376531018268548
372,زبینا,1.4349090137587388
270,ثبهساز,1.4271168401978258
727,دسانکو,1.41919713153603
613,ساینا,1.4130903734767615
127,کرازی,1.4086565389134151
268,وتوکا,1.4050868456306322
749,دبالک,1.4031576920025177
13,ثغرب,1.3996796895557375
716,خچرخش,1.3987879148774123
211,زنگان,1.3962078757614451
562,رتاپ,1.3961299597870451
819,حسیر,1.3945897708303037
652,وطوبی,1.387450293365931
336,زقیام,1.3859104777446405
452,وبهمن,1.3857725624429647
409,بنیرو,1.3853601143994763
568,شاروم,1.3831128869744618
697,ولصنم,1.3823487427746672
648,ورنا,1.3772085627639838
81,کطبس,1.375985603401071
809,شپنا,1.3738635888855748
750,غگیلا,1.3715027377665123
675,داریوش,1.3684491390583537
845,غشان,1.3657196520583685
655,آسیا,1.3552334409034652
164,سبزوا,1.3547425400419815
225,پی پاد,1.3535359037522217
720,فاسمین,1.3530804393036955
410,خفنر,1.351672053698575
632,بنو,1.3504373782906136
592,درازی,1.341386692033938
368,شکلر,1.3403101912070507
625,نوین,1.338210812752141
579,مفاخر,1.336824321852953
17,وبوعلی,1.3345058777317829
60,دکوثر,1.3227669798101775
183,فسپا,1.3169403589691642
351,وساپا,1.3167999720413182
461,شصدف,1.3166144242189801
263,رماس,1.3126035315321318
887,وپترو,1.3116170113364443
29,فروس,1.3112259382724871
308,ثامید,1.3107969746691779
134,کدما,1.3064036993146189
448,وآوا,1.3052777501615904
224,زدشت,1.3045429607081322
61,زکوثر,1.3040031205048859
683,مدیریت,1.303033223629496
559,شیران,1.3009309922674126
903,رمپنا,1.2986541586986498
378,خکار,1.2977681821992177
141,غگلستا,1.2977172475992418
79,داوه,1.2965957720551746
572,خاور,1.295263997039156
807,زکشت,1.2951104281668813
305,وکبهمن,1.2950593353955346
724,آ س پ,1.2909053509419672
359,کمنگنز,1.2908048110911796
85,ولغدر,1.2863904674492401
312,جهش,1.2817203134358557
199,آپ,1.2805281720390074
786,فسازان,1.2796138556491816
30,سدبیر,1.2764575080734568
123,زماهان,1.2755258285475723
112,ثباغ,1.2746212128328662
288,رافزا,1.273431092766214
431,بپیوند,1.2731269523934876
261,بهپاک,1.2665733831237367
110,پارسیان,1.2647647257606944
135,اکسیژن,1.2621070212881005
397,آوا,1.260616358564929
751,فولای,1.2598302409296873
755,فمراد,1.2593248947864768
146,فزرین,1.251543004380603
421,فولاد,1.2498999760502416
165,فگستر,1.2461683989728083
103,گدنا,1.2437940012789395
283,زشریف,1.2423288209647716
670,غگل,1.2422463579673968
838,الماس,1.2414352160573114
871,افرا,1.2312887771445356
438,شبندر,1.2310613331355624
14,وپویا,1.228974930400248
619,شراز,1.2288763040615052
662,فتوسا,1.2284804941160996
565,شیراز,1.227433858435948
278,وتجارت,1.2254264628736267
230,ونفت,1.2236859125372797
65,دتماد,1.2213660939460915
113,غشصفا,1.2195739232654346
715,دکیمی,1.2194326582999897
370,کهمدا,1.218437942711636
143,کیمیا,1.2147243012071225
342,خاهن,1.21159256461615
649,قچار,1.2076592375042479
651,قنیشا,1.2039731772554183
899,کتوکا,1.2034613124904694
162,شپاکسا,1.202126964076639
88,فاراک,1.2007818301744577
759,پارسان,1.1971674458183794
741,خزر,1.1956486767479324
115,زفکا,1.1928254036187769
