,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
0,10229,10231,10229,10230,10230,228561361,2338085867374,4326,همای,صندوق س همای آگاه-ثابت,نامعلوم,10229,10231,10229,10230,10230
1,39700,39700,39100,39700,39700,570413,22634514400,207,تابا,تابان نیرو سپاهان,پایه زرد,39700,39700,39100,39700,39700
2,41000,41800,40350,41250,41500,4606098,191251104650,542,وارس,سرمایه گذاری ارس صبا,پایه زرد,41000,41800,40350,41250,41500
3,66800,68700,64700,68700,68200,2081861,142000247650,499,گنگین,اقتصادی نگین گردشگری ایرانیان,پایه زرد,66800,68700,64700,68700,68200
4,7100,7640,7100,7640,7530,23167912,174341402250,1422,امید,تامین سرمایه امید,بورس,4955,5332,4955,5332,5255
5,13740,13740,13370,13740,13670,8280650,113184629570,1042,کایزد,فرانسوز یزد,فرابورس,13677,13677,13309,13677,13608
6,22690,23700,22620,23660,23270,1012281,23559155600,258,شدوص,دوده صنعتی پارس,بورس,22690,23700,22620,23660,23270
7,25000,25250,24990,25110,24970,406312,10180709830,368,سآبیک,سیمان آبیک,بورس,25000,25250,24990,25110,24970
8,192950,192950,189500,192950,192850,98806,19054566050,106,فسدید,لوله وتجهیزات سدید - ورشکسته,پایه قرمز,192950,192950,189500,192950,192850
9,6050,6090,5840,5950,6040,69874467,421904988310,3139,رکیش,کارت اعتباری ایران کیش,بورس,6050,6090,5840,5950,6040
10,27050,27050,26200,26800,26050,135214,3642696650,71,دقاضی,داروسازی شهید قاضی,فرابورس,27050,27050,26200,26800,26050
11,7010,7300,6820,6970,7040,27897906,196345043720,2365,دامین,داروسازی امین,بورس,6881,7165,6694,6841,6910
12,14770,14950,14100,14350,14570,17370568,253035926650,3062,ثغرب,شرکت سرمایه گذاری مسکن شمالغرب,فرابورس,14770,14950,14100,14350,14570
13,4700,4775,4394,4622,4637,92995321,431221655587,7064,وپویا,سرمایه گذاری پویا,فرابورس,4700,4775,4394,4622,4637
14,6655,6797,6280,6797,6728,85947127,578264166363,4654,شسینا,صنایع شیمیایی سینا,بورس,6480,6618,6115,6618,6551
15,22250,22700,21550,21950,22100,4893834,108125437100,4845,بگیلان,توسعه مسیر برق گیلان,فرابورس,22250,22700,21550,21950,22100
16,4989,5219,4920,4990,5049,17744538,89586982914,1443,وبوعلی,سرمایه گذاری بوعلی,بورس,3082,3224,3040,3083,3119
17,89650,89650,89650,89650,89650,905079,81140332350,122,سلار,شرکت سیمان لارستان,پایه زرد,89650,89650,89650,89650,89650
18,17724,18260,17724,18260,18041,174813,3153769028,64,هیوا,صندوق س. ثروت هیوا-س,نامعلوم,17724,18260,17724,18260,18041
19,10216,10219,10215,10216,10216,26023835,265859698986,95,آفاق,صندوق س نوع دوم افق آتی-ثابت,نامعلوم,10216,10219,10215,10216,10216
20,26850,26850,26850,26850,26850,285844,7674911400,57,کفرآور,فرآورده های سیمان شرق,پایه زرد,24846,24846,24846,24846,24846
21,12690,13140,12340,12810,12880,4351887,56041047170,731,چفیبر,فیبر ایران,بورس,12671,13121,12322,12791,12861
22,4750,4983,4750,4898,4856,20690093,100474137228,1148,بموتو,موتوژن,بورس,3649,3828,3649,3763,3731
23,1891,1891,1821,1891,1877,4010718,7567408959,363,استقلال,استقلال,پایه نارنجی,1891,1891,1821,1891,1877
24,21820,22500,21820,22330,22220,25723962,571512735490,675,ارزش,صندوق س ارزش آفرین بیدار-سهام,نامعلوم,21820,22500,21820,22330,22220
25,53500,53500,52600,53450,53450,2239286,119714056050,457,فلات,گروه صنایع معادن فلات ایرانیان,پایه زرد,53500,53500,52600,53450,53450
26,7040,7450,7040,7400,7270,1226115,8912073780,173,میدکوح,ح.توسعه م وص.معدنی خاورمیانه,نامعلوم,7040,7450,7040,7400,7270
27,7120,7400,7120,7400,7340,1305654,9587590490,174,میدکوح,ح.توسعه م وص.معدنی خاورمیانه,نامعلوم,7120,7400,7120,7400,7340
28,69900,71050,67200,71050,70400,282800,19930713050,193,وثخوز,سرمایه گذاری و توسعه خوزستان,پایه زرد,69900,71050,67200,71050,70400
29,10330,10480,9890,10290,10100,9586089,96816026540,1003,فروس,فروسیلیس ایران,بورس,4830,4900,4624,4811,4722
30,80000,83900,77100,82800,81750,2417789,197699395050,2113,سدبیر,س. تدبیرگران فارس وخوزستان,فرابورس,80000,83900,77100,82800,81750
31,10400,10789,10247,10667,10419,17918978,186701167254,1243,دانیک,ص.س.املاک ومستغلات نیک رای,نامعلوم,10400,10789,10247,10667,10419
32,16263,16264,16263,16263,16263,48842906,794339834680,569,ثبات,صندوق س. ثبات ویستا -د,پایه زرد,16263,16264,16263,16263,16263
33,26100,26100,24860,25370,25150,4601917,116130759150,593,وصندوق,سرمایه گذاری صندوق بازنشستگی,بورس,22667,22667,21590,22033,21842
34,4431,4807,4431,4807,4751,168032313,798348986132,5096,غبشهر,صنعتی بهشهر,بورس,4431,4807,4431,4807,4751
35,2900,2900,2752,2804,2837,65915785,186999559003,2797,وصنا,گروه صنایع بهشهرایران,بورس,2900,2900,2752,2804,2837
36,221260,238070,221250,238070,232540,19833949,4612213248880,21870,دارا یکم,صندوق واسطه گری مالی یکم-سهام,نامعلوم,221260,238070,221250,238070,232540
37,2473,2473,2473,2473,2447,5384539,13315964947,115,ثنام,س ساختمانی ب نام آوران مهندسی,پایه زرد,2462,2462,2462,2462,2436
38,9660,9660,9100,9660,9560,15620505,149357395290,794,آینده,بازرگانی آینده سازان بهشت پارس,پایه زرد,9660,9660,9100,9660,9560
39,26500,26500,26100,26500,26500,1340424,35488812900,244,سباقر,سیمان باقران,پایه زرد,25524,25524,25139,25524,25524
40,141750,141750,141750,141750,141750,2717,385134750,13,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,141750,141750,141750,141750,141750
41,15500,15500,15500,15500,15500,4080420,63246510000,311,وامین,س. امین توان آفرین ساز,پایه زرد,14566,14566,14566,14566,14566
42,35450,35450,35450,35450,35050,341284,12098517800,71,قتربت,قند تربت حیدریه,پایه زرد,35450,35450,35450,35450,35050
43,2331,2331,2331,2331,2331,5793156,13503846636,75,وحافظح,ح . بیمه حافظ,پایه زرد,2331,2331,2331,2331,2331
