J-Date,Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
1402-01-05,2023-03-25,68900,68900,68900,68900,67200,43834,3020162600,41,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,67884,67884,67884,67884,66209
1402-01-06,2023-03-26,69200,69200,69200,69200,67200,1816,125667200,5,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,68180,68180,68180,68180,66209
1402-01-07,2023-03-27,69200,69200,65200,65200,67050,43774,2890701450,33,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,68180,68180,64239,64239,66062
1402-01-08,2023-03-28,65050,65050,65050,65050,66950,12550,816377500,13,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,64091,64091,64091,64091,65963
1402-01-09,2023-03-29,64950,64950,64950,64950,66850,17067,1108501650,13,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,63993,63993,63993,63993,65865
1402-01-14,2023-04-03,64850,64850,64850,64850,66850,3085,200062250,2,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,63894,63894,63894,63894,65865
1402-01-15,2023-04-04,64850,64850,64850,64850,66700,25663,1664245550,23,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,63894,63894,63894,63894,65717
1402-01-16,2023-04-05,64700,64700,64700,64700,66600,14749,954260300,16,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,63746,63746,63746,63746,65618
1402-01-19,2023-04-08,63300,67000,63300,66250,64800,289573,18745363300,261,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,62367,66012,62367,65273,63845
1402-01-20,2023-04-09,65000,66000,64650,65000,64900,53510,3497721800,70,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,64042,65027,63697,64042,63943
1402-01-21,2023-04-10,66650,66650,63000,63000,64650,78222,5006712500,73,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,65668,65668,62071,62071,63697
1402-01-22,2023-04-11,62750,63950,62750,63500,64300,55610,3493646550,57,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,61825,63007,61825,62564,63352
1402-01-26,2023-04-15,63050,66000,62850,66000,64650,127085,8272916600,119,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,62121,65027,61924,65027,63697
1402-01-27,2023-04-16,66550,66550,65050,66550,65200,94928,6307458150,73,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,65569,65569,64091,65569,64239
1402-01-28,2023-04-17,67150,67150,65250,67150,66000,126234,8476188800,59,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,66160,66160,64288,66160,65027
1402-01-29,2023-04-18,67950,67950,67950,67950,66200,32902,2235690900,33,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,66948,66948,66948,66948,65224
1402-01-30,2023-04-19,68150,68150,68150,68150,66350,21710,1479536500,26,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,67145,67145,67145,67145,65372
1402-02-04,2023-04-24,68300,68300,68300,68300,66650,47733,3260163900,46,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,67293,67293,67293,67293,65668
1402-02-05,2023-04-25,68600,68600,68600,68600,66750,19054,1307104400,14,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,67589,67589,67589,67589,65766
1402-02-06,2023-04-26,68750,68750,68750,68750,66850,13533,930393750,17,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,67737,67737,67737,67737,65865
1402-02-09,2023-04-29,68850,68850,68850,68850,67100,35400,2437290000,30,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,67835,67835,67835,67835,66111
1402-02-10,2023-04-30,69100,69100,69100,69100,67300,31067,2146729700,16,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,68081,68081,68081,68081,66308
1402-02-11,2023-05-01,69300,69300,69300,69300,67450,21447,1486277100,17,پشاهن,تولیدی پلاستیک شاهین,پایه زرد,68279,68279,68279,68279,66456
