,Ticker,Adj Close
0,تابا,39700
1,وارس,48650
2,امید,5332
3,شدوص,25700
4,فسدید,192950
5,رکیش,5950
6,دقاضی,26800
7,دامین,6841
8,ثغرب,14216
9,وپویا,4622
10,شسینا,6618
11,بگیلان,20631
12,وبوعلی,3083
13,سلار,89650
14,کفرآور,24846
15,چفیبر,12791
16,بموتو,3409
17,ارزش,22330
18,فلات,53450
19,میدکوح,7400
20,میدکوح,7400
21,وثخوز,69790
22,فروس,4811
23,سدبیر,82800
24,وصندوق,22033
25,غبشهر,4807
26,وصنا,2804
27,دارا یکم,238070
28,ثنام,2462
29,آینده,9660
30,سباقر,25524
31,پشاهن,141750
32,وپخش,26473
33,وحکمت,3645
34,وبازار,20440
35,وخاور,4000
36,وخاور,4000
37,سیتا,20000
38,شصفها,245750
39,غگرجی,2965
40,دشیمی,35000
41,تنوین,3593
42,برکت,11237
43,خمحور,8350
44,سجام,5214
45,دکوثر,14404
46,زکوثر,31730
47,شبریز,18744
48,قرن,11146
49,شگویا,18627
50,دتماد,58690
51,ولانا,55150
52,لبوتان,19850
53,شستا,1331
54,تمحرکه,9840
55,لخزر,21467
56,فسرب,3761
57,ثرود,21800
58,وبانک,12806
59,داریک,18578
60,داوه,15990
61,کطبس,27393
62,قصفها,210402
63,کاوه,13097
64,ولغدر,8320
65,ثاصفا,25500
66,سفارس,40230
67,فاراک,3220
68,ولبهمن,4822
69,خاذین,4773
70,سپیدما,17573
71,دتولید,17005
72,قثابت,4848
73,لابسا,11733
74,اپرداز,8601
75,ونوین,6910
76,گدنا,15701
77,کاسپین,23046
78,حفاری,8198
79,وصنعت,2618
80,وبشهر,10739
81,پدرخش,15763
82,لپارس,171271
83,پارسیان,5175
84,سیمرغ,37560
85,ثباغ,11256
86,غشصفا,26308
87,سفانو,107210
88,سفانو,107210
89,زفکا,21750
90,وسکاب,2212
91,خموتور,6088
92,ورازی,2511
93,سپ,19170
94,سکرد,12033
95,های وب,3588
96,زماهان,12300
97,نتوس,12499
98,بترانس,3754
99,سهرمز,28090
100,کرازی,2290
101,شاوان,29838
102,سنوین,9168
103,بساما,15299
104,وجامی,3287
105,گوهران,4904
106,کدما,120410
107,شرانل,95124
108,ثشرق,35450
109,قهکمت,12600
110,کیمیا,9769
111,فزرین,8255
112,ثنظام,67950
113,بسویچ,5660
114,سپرمی,67700
115,آسامید,21084
116,سشرق,14920
117,نیرو,30362
118,شکبیر,100032
119,همراه,7410
120,سبزوا,8070
121,سخند,9800
122,ریشمک,12556
123,شبهرن,28305
124,کاردان,408950
125,نمرینو,77215
126,غدام,79240
127,تایرا,12046
128,ثامان,42660
129,افق ملت,258980
130,تپولا,32900
131,بوعلی,61000
132,گنجین,20651
133,فسپا,11122
134,تملت,3550
135,پالایش,194457
136,وآفری,3838
137,دعبید,17100
138,شپارس,11250
139,دسبحان,8484
140,وبرق,104400
141,وبرق,104400
142,تکنو,9740
143,وسالت,15600
144,وسالت,15600
145,آپ,12029
146,قاسم,12309
147,کشرق,211860
148,سیستم,19150
149,کورز,14147
150,خگستر,7380
151,زنگان,105239
152,میدکو,11230
153,فولاژ,19187
154,دحاوی,18268
155,سمایه,8270
156,شتولی,25200
157,تاپکیش,19420
158,دسینا,17654
159,زدشت,43550
160,فنرژی,54750
161,سخوز,59000
162,ونفت,7107
163,وزمین,7450
164,وزمین,7450
165,تماوند,4747
166,وکار,3680
167,زگلدشت,27966
168,زمگسا,46085
169,دشیری,137693
170,پلوله,49950
171,فخاس,16544
172,خعمرا,12008
173,حریل,4128
174,مارون,210002
175,فنفت,33296
176,خپویش,25030
177,غبهار,26273
178,ساربیل,23350
179,زرین,22190
180,وتوکا,5161
181,بخاور,5700
182,کگاز,50960
183,وتجارت,3085
184,غمارگ,2100
185,پکرمان,38560
186,سفاسی,5560
187,زشریف,7960
188,خرینگ,26816
189,حبندر,22314
190,قشیر,15390
191,تیپیکو,32337
192,وکبهمن,5320
193,ولتجار,4470
194,ولتجار,4470
195,سایرا,85650
196,وگردش,6475
197,خاتم,18787
198,کارین,10228
199,شبصیر,37002
200,حتوکا,5148
201,ولقمان,2353
202,ومعلم,2868
203,قجام,10030
204,ونچر,899999
205,خاهن,5964
206,دفرا,41420
207,وپست,10800
208,کگل,7550
209,پکویر,7950
210,خپارس,2318
211,پترول,3220
212,غدشت,44159
213,وساپا,8497
214,اعتلا,4995
215,ثجوان,14353
216,ولملت,10150
217,شتوکا,35500
218,کمنگنز,24634
219,وتوکاح,3190
220,حرهشا,317750
221,سکرما,32300
222,تکنار,91200
223,توریل,8580
224,سهگمت,63690
225,شکلر,51990
226,خفولا,57450
227,خفولا,57450
228,کهمدا,7063
229,ثمسکن,9150
230,زبینا,5155
231,ثتوسا,41400
232,لازما,70100
233,وتوشه,10044
234,شجم,10606
235,خکار,5477
236,وسپهر,7980
237,وبیمه,2511
238,دفارا,35720
239,فنوال,16688
240,بکام,4402
241,چکاپا,5483
242,داسوه,63227
243,فارس,13327
244,خدیزل,5860
245,کسعدیح,7860
246,زملارد,27400
247,معیار,23850
248,تبرک,18396
249,آوا,16099
250,وکادو,10868
251,آریان,6354
252,چکاوه,26120
253,بورس,10445
254,وآرین,2640
255,وسنا,22300
256,سبهان,121350
257,لخانه,34224
258,ثاخت,5470
259,بنیرو,7559
260,خفنر,19410
261,رتکو,26650
262,خبازرس,32350
263,وپسا,2727
264,سرچشمه,12019
265,خودرو,4417
266,سشمال,18860
267,شفا,25980
268,فولاد,6676
269,وامید,17360
270,فراز,30500
271,فراز,30500
272,فراز,30500
273,فراز,30500
274,فراز,30500
275,رانفور,7830
276,حکشتی,16754
277,ثعتما,33950
278,خکمک,6118
279,بپیوند,20128
280,کفرا,13517
281,چکارن,8190
282,فاما,16813
283,ودی,11440
284,ونیرو,7500
285,اپال,21609
286,شبندر,12177
287,ممسنی,21900
288,سپیدار,97000
289,امین یکم,10194
290,فپنتا,60037
291,گشان,50650
292,غسالم,8726
293,دکپسول,87800
294,وآوا,5331
295,حسینا,27600
296,تاپیکو,19660
297,وبهمن,6219
298,چخزر,100250
299,حپارسا,90300
300,وحافظ,5500
301,دجابر,21300
302,خزامیا,9402
303,جهرم,1488
304,شصدف,54451
305,کلوند,51904
306,کماسه,9131
307,سرود,50960
308,سرود,50960
309,کرماشا,27292
310,هرمز,11396
311,سصوفی,34300
312,دهدشت,24800
313,دهدشت,24800
314,پتایر,3476
315,پتایر,3476
316,وبملت,5256
317,قزوین,10065
318,ختوقا,8651
319,وآتوس,8130
320,مدیر,20964
321,وملی,312106
322,ثشاهد,21963
323,واحصا,39851
324,کخاک,21080
325,شلرد,12813
326,خنصیر,23218
327,وایران,8840
328,سفارود,20050
329,ساراب,34200
330,کساپا,32000
331,سفار,378210
332,صایند,14165
333,تپکو,3191
334,شنفت,11052
335,وسبحان,2774
336,کمینا,15640
337,سیدکو,17791
338,سرو,150250
339,ما,5453
340,دماوند,30482
341,کهرام,55150
342,پارس,3474
343,وملل,4988
344,آبادا,18330
345,فبستم,15680
346,کازرو,24750
347,کروی,9588
348,شپاس,35950
349,ختور,8848
350,تکشا,69700
351,فردا,18743
352,ولساپا,2837
353,دسبحا,14846
354,دانا,5400
355,پاسا,19010
356,آسام,25658
357,بالبر,43800
358,کنور,25480
359,کوثر,4334
360,فلوله,6216
361,شسپا,6720
362,گپارس,218500
363,فافزا,65337
364,حخزر,20650
365,لکما,2133
366,وآذر,14802
367,حپترو,59824
368,لپیام,62600
369,یاقوت,21020
370,ساروج,43450
371,بجهرم,4227
372,مرقام,12720
373,وسین,2996
374,بتک,327600
375,کلر,75000
376,کسرا,10624
377,شستان,9270
378,شیران,7243
379,غشهد,5039
380,رتاپ,6169
381,کحافظ,9670
382,شیراز,35104
383,فایرا,10013
384,شخارک,70642
385,شاروم,17317
386,سمگا,5143
387,خاور,5688
388,نطرین,17500
389,ثروتم,167693
390,غدیس,22574
391,سیلام,32840
392,سمازن,26900
393,مفاخر,16580
394,تکمبا,10718
395,شفارس,2801
396,بالاس,52683
397,وملت,4636
398,ولراز,81600
399,آبین,10769
400,زاگرس,199621
401,وسدید,6740
402,شساخت,18669
403,خشرق,20270
404,چافست,12140
405,کگهر,20543
406,نگین,93980
407,نگین,93980
408,نگین,93980
409,نگین,93980
410,نگین,93980
411,نگین,93980
412,نگین,93980
413,نگین,93980
414,نگین,93980
415,نگین,93980
416,نگین,93980
417,نگین,93980
418,نگین,93980
419,نگین,93980
420,نگین,93980
421,غویتا,5587
422,ارفع,28800
423,خکاوه,38000
424,ملت,2139
425,قشکر,4150
426,حآسا,16646
427,شتران,5367
428,کقزوی,32200
429,ساینا,53550
430,واعتبار,7198
431,دلقما,4117
432,اوصتا,32494
433,شراز,18759
434,شکربن,6500
435,کباده,15904
436,کباده,15904
437,کباده,15904
438,کباده,15904
439,کباده,15904
440,دالبر,7473
441,نوین,3101
442,آگاس,151860
443,تفیرو,49150
444,پردیس,5760
445,بنو,7490
446,وهور,2045
447,خوساز,40580
448,اتکاسا,4388
449,واحیا,11393
450,فجام,8283
451,وساخت,3293
452,دارو,31300
453,آریا,108216
454,وشمال,32900
455,سپر,20641
456,ورنا,10600
457,قچار,13178
458,کیسون,2855
459,قنیشا,4389
460,خبهمن,3039
461,آسیا,3145
462,غشاذر,11590
463,رنیک,15624
464,وسپه,5844
465,ولیز,2771
466,بکاب,16631
467,شاراک,46984
468,گنجینه,10211
469,اوان,26835
470,غگل,5790
471,تشتاد,7870
472,وتوسم,4101
473,آرمان,7370
474,آباد,121840
475,خمحرکه,14126
476,کبافق,46257
477,چدن,3417
478,فوکا,15723
479,کاریس,27125
480,دلر,33380
481,فیروزا,40204
482,فیروزا,40204
483,فروی,13954
484,کی بی سی,26800
485,ولپارس,7300
486,ولصنم,7150
487,سصفها,260888
488,غنوش,16624
489,قشهد,24328
490,زپارس,72797
491,دزهراوی,9850
492,مادیرا,6447
493,خلنت,28230
494,شمواد,3200
495,بایکا,29300
496,گوهرانح,3950
497,خمهر,4409
498,فخوز,4795
499,آکورد,55329
500,مداران,11660
501,فرآور,54413
502,دکیمی,51064
503,خچرخش,36326
504,امین,9570
505,فاسمین,7914
506,پلاست,17230
507,وثوق,34850
508,آ س پ,19140
509,بشهاب,29661
510,سنیر,63494
511,دسانکو,11420
512,غصینو,19039
513,وغدیر,27599
514,تصمیم,28544
515,غچین,7778
516,بپاس,18389
517,ثالوند,19350
518,غالبر,95500
519,وبصادر,3131
520,خزر,7185
521,ومشان,20900
522,پارتا,8911
523,رویش,4352370
524,غگیلا,29852
525,فولای,9804
526,شلعاب,27590
527,تپمپی,18329
528,تپمپی,18329
529,فمراد,36746
530,پارسان,47100
531,غاذر,25286
532,شپدیس,213920
533,سخاش,101134
534,فالوم,20510
535,گکیشح,10310
536,فبیرا,4950
537,کپارس,13291
538,قیستو,13005
539,کساوه,85519
540,غشوکو,15190
541,هجرت,41500
542,ثپردیس,20881
543,ذوب,5600
544,ثنوسا,8870
545,ثنوسا,8870
546,پارند,10212
547,ساروم,51030
548,تلیسه,6289
549,کمرجان,9580
550,فسا,1322
551,ستران,6836
552,فسازان,8690
553,فجر,8780
554,غفارس,20530
555,بکهنوج,2106
556,کزغال,31354
557,تنوینح,1404
558,شوینده,31950
559,حتاید,5680
560,غمینو,13669
561,وتعاون,2582
562,غمهرا,15788
563,زکشت,27538
564,شپنا,8931
565,وایرا,7360
566,وپاسار,3226
567,پسهند,63690
568,خریخت,6690
569,ثقزوی,22700
570,درهآور,92605
571,حسیر,19915
572,غگلپا,65500
573,غگلپا,65500
574,ثعمرا,26706
575,بمیلا,13960
576,کچاد,7634
577,غپینو,5644
578,ویسرو,630000
579,ویسرو,630000
580,ویسرو,630000
581,ویسرو,630000
582,کسرام,11060
583,ثتران,9190
584,درازک,19738
585,سامان,3937
586,اخابر,15896
587,ختراک,7080
588,خودکفا,12601
589,جم پیلن,190826
590,سدور,15700
591,داراب,1482
592,الماس,238423
593,کسعدی,11720
594,ثفارس,54430
595,ارمغان,10206
596,غشان,11505
597,وپارس,3298
598,غپاک,24877
599,کمند,10211
600,سپاها,22099
601,قشرین,11385
602,بذر,196529
603,تداوم,11800
604,شرنگی,24048
605,ثاژن,8240
606,ختراکح,4190
607,قمرو,11285
608,کویر,4728
609,خراسان,168499
610,شگل,9290
611,کالا,18462
612,صبا,4138
613,افق,17630
614,انرژی,50800
615,افرا,20219
616,کیان,49487
617,فن آوا,7210
618,لسرما,42494
619,حاریا,7740
620,پلاسک,10820
621,والبر,7893
622,والبر,7893
623,سمتاز,50080
624,ومعادن,6976
625,ومعادن,6976
626,وپترو,38060
627,پرداخت,15180
628,شسم,285023
629,وهنر,6370
630,غپونه,19032
631,دارا,11263
632,فجوش,2222
633,فجوش,2222
634,فجوش,2222
635,فجوش,2222
636,فجوش,2222
637,کتوکا,15870
638,فیروزه,32300
639,فیروزه,32300
640,ددام,19390
641,رمپنا,18212
642,سخزر,58740
643,وتوس,29935
