,Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
0,2024-02-20,6930,6980,6850,6860,6890,4183560,28733946330,232,وسالت,بانک قرض الحسنه رسالت,پایه زرد,6930,6980,6850,6860,6890
1,2024-02-17,3635,3656,3534,3535,3576,7501463,26825551873,721,خدیزل,بهمن  دیزل,فرابورس,3635,3656,3534,3535,3576
2,2024-01-27,37500,37500,37500,37500,38250,1,37500,1,فنرژی,گسترش صنایع انرژی آذرآب,پایه نارنجی,37500,37500,37500,37500,38250
3,2024-01-29,37500,37500,37500,37500,38250,3293,123487500,1,فنرژی,گسترش صنایع انرژی آذرآب,پایه نارنجی,37500,37500,37500,37500,38250
4,2024-01-30,37500,37500,37500,37500,38250,1406,52725000,1,فنرژی,گسترش صنایع انرژی آذرآب,پایه نارنجی,37500,37500,37500,37500,38250
5,2024-01-24,51600,51600,51600,51600,51600,2700,139320000,3,تفیرو,مهندسی فیروزا,پایه زرد,51600,51600,51600,51600,51600
6,2023-11-27,3365,3399,3330,3337,3358,61662098,207088721779,2241,خاور,ایران خودرو دیزل,فرابورس,3365,3399,3330,3337,3358
7,2023-12-18,1531,1559,1531,1532,1577,2676739,4105478323,70,فجوش,جوش و اکسیژن ایران,پایه زرد,1531,1559,1531,1532,1577
8,2023-12-19,1540,1583,1532,1532,1577,694064,1073167452,31,فجوش,جوش و اکسیژن ایران,پایه زرد,1540,1583,1532,1532,1577
9,2024-02-20,56900,56900,56900,56900,56900,40629,2311790100,16,سپرمی,پرمیت,پایه قرمز,56900,56900,56900,56900,56900
