,Ticker
0,همای
1,تابا
2,وارس
3,گنگین
4,تجلی2
5,امید
6,کایزد
7,شدوص
8,سآبیک
9,فسدید
10,رکیش
11,دقاضی
12,دامین
13,ثغرب
14,وپویا
15,شسینا
16,بگیلان
17,وبوعلی
18,سلار
19,هیوا
20,آفاق
21,کفرآور
22,چفیبر
23,بموتو
24,استقلال
25,ارزش
26,فلات
27,میدکوح
28,وثخوز
29,فروس
30,سدبیر
31,دانیک
32,چکارن2
33,ثبات
34,وصندوق
35,غبشهر
36,وصنا
37,دارا یکم
38,ثنام
39,آینده
40,سباقر
41,پشاهن
42,وامین
43,قتربت
44,وحافظح
45,وپخش
46,وحکمت
47,وبازار
48,وخاور
49,سیتا
50,شصفها
51,غگرجی
52,دشیمی
53,فروژ
54,تنوین
55,برکت
56,خمحور
57,سجام
58,حخزرح
59,تکاردان
60,دکوثر
61,زکوثر
62,شبریز
63,قرن
64,شگویا
65,دتماد
66,ولانا
67,عالیس
68,لبوتان
69,شستا
70,تمحرکه
71,عقیق
72,لخزر
73,هم وزن2
74,فسرب
75,ثرود
76,وبانک
77,فاخر
78,داریک
79,داوه
80,وکغدیر
81,کطبس
82,رایکا
83,قصفها
84,کاوه
85,ولغدر
86,ثاصفا
87,سفارس
88,فاراک
89,کیمیاتک
90,ولبهمن
91,کتوسعه
92,رایکا4
93,خاذین
94,تصمیم2
95,عقیق2
96,سپیدما
97,دتولید
98,ددانا2
99,قثابت
100,لابسا
101,اپرداز
102,ونوین
103,گدنا
104,کاسپین
105,حفاری
106,وصنعت
107,وبشهر
108,پدرخش
109,لپارس
110,پارسیان
111,سیمرغ
112,ثباغ
113,غشصفا
114,سفانو
115,زفکا
116,وسکاب
117,آتیمس
118,خموتور
119,ورازی
120,سپ
121,سکرد
122,های وب
123,زماهان
124,نتوس
125,بترانس
126,سهرمز
127,کرازی
128,شاوان
129,سنوین
130,بساما
131,هوشیار
132,وجامی
133,گوهران
134,کدما
135,اکسیژن
136,کارا2
137,ومهان
138,پتروصبا
139,شرانل
140,ثشرق
141,غگلستا
142,قهکمت
143,کیمیا
144,سمان
145,اعتماد
146,فزرین
147,ثنظام
148,بسویچ
149,کرمان
150,خزامیا2
151,سپرمی
152,سکارون
153,کامیاب
154,کفپارس
155,آسامید
156,سشرق
157,نیرو
158,شغدیر
159,شکبیر
160,فباهنر
161,همراه
162,شپاکسا
163,کمند2
164,سبزوا
165,فگستر
166,غشهداب
167,غپآذر
168,سخند
169,ریشمک
170,شجم2
171,شبهرن
172,کاردان
173,انار
174,نمرینو
175,غدام
176,تایرا
177,ثامان
178,افق ملت
179,حآفرین
180,تپولا
181,بوعلی
182,گنجین
183,فسپا
184,فرابورس
185,فاخر2
186,تملت
187,زنجان
188,پالایش
189,ثابت اکسیژن2
190,وآفری
191,دعبید
192,شپارس
193,دسبحان
194,وبرق
195,ولشرق
196,تکنو
197,وسالت
198,سدشت
199,آپ
200,تاصیکو2
201,قاسم
202,کشرق
203,سیستم
204,یاقوت4
205,کصدف
206,وتوصا
207,کورز
208,یارا
209,خگستر
210,شفن
211,زنگان
212,هامرز4
213,میدکو
214,فولاژ
215,دحاوی
216,سمایه
217,شتولی
218,آلا2
219,سقاین
220,وشهر
221,صنم
222,تاپکیش
223,دسینا
224,زدشت
225,پی پاد
226,فنرژی
227,سخوز
228,خساپا
229,زشگزا
230,ونفت
231,فملی
232,وزمین
233,وسرمد
234,تماوند
235,توسن2
236,وکار
237,زگلدشت
238,گلدیرا
239,زمگسا
240,بوعلی2
241,دشیری
242,مبین
243,سپیدما2
244,دیران
245,افران
246,پلوله
247,کاذر
248,تمشک
249,فخاس
250,خعمرا
251,درسا
252,وثنو
253,حریل
254,خریخت2
255,مارون
256,فنفت
257,خپویش
258,غبهار
259,ارزش مسکن
260,ساربیل
261,بهپاک
262,شپنا2
263,رماس
264,زرین
265,غمایه
266,حگهر
267,تکیمیا
268,وتوکا
269,بخاور
270,ثبهساز
271,سرچشمه2
272,متال
273,آکام
274,کگاز
275,نوری
276,فغدیر
277,جم
278,وتجارت
279,غمارگ
280,پکرمان
281,پاداش2
282,سفاسی
283,زشریف
284,خرینگ
285,وامیر
286,غبهنوش
287,رشد
288,رافزا
289,آوند
290,سام
291,حبندر
292,فلامی
293,پادا
294,بمولد
295,سلام
296,قشیر
297,ساوه
298,غزر
299,خبنیان
300,خموتورح
301,ساحل
302,ثنور
303,تیپیکو
304,تاصیکو
305,وکبهمن
306,کارام
307,اسیاتک
308,ثامید
309,ولتجار
310,باران
311,کاما
312,جهش
313,فافق
314,سایرا
315,آساس
316,فکمند
317,وگردش
318,خاتم
319,فاذر
320,فروسیل
321,کارین
322,بمپنا
323,پرتو
324,پاکشو
325,شبصیر
326,حتوکا
327,نخل
328,بزاگرس
329,وکادوح
330,صدف
331,ولقمان
