Ticker,Trade Type,Time,Open,High,Low,Close,Final,Close(%),Final(%),Day_UL,Day_LL,Value,BQ-Value,SQ-Value,BQPC,SQPC,Volume,Vol_Buy_R,Vol_Buy_I,Vol_Sell_R,Vol_Sell_I,No,No_Buy_R,No_Buy_I,No_Sell_R,No_Sell_I,Name,Market,Sector,Share-No,Base-Vol,Market Cap,EPS,Download
غمینو,تابلو,12:28:58,5440.0,5530.0,5400.0,5440.0,5460.0,-0.18,0.18,5830.0,5070.0,8753784430.0,0,0,0,0,1601984.0,1524974.0,77010.0,1601984.0,0.0,192.0,47.0,1.0,84.0,0.0,شرکت صنایع غذایی مینو شرق,فرابورس,محصولات غذایی و آشامیدنی به جز قند و شکر,2700000000.0,1.0,14742000000000.0,838.0,1402-11-24 03:33:04
وتوس,تابلو,12:29:22,17970.0,17970.0,17140.0,17360.0,17630.0,-3.39,-1.89,19220.0,16720.0,9418905260.0,0,0,0,0,540087.0,484755.0,55332.0,484755.0,55332.0,205.0,91.0,1.0,55.0,1.0,توسعه شهری توس گستر,بورس,انبوه سازی، املاک و مستغلات,2000000000.0,831947.0,35260000000000.0,797.0,1402-11-24 03:33:04
ددانا,تابلو,12:29:54,45250.0,45500.0,44750.0,45250.0,45550.0,-1.09,-0.44,48950.0,42550.0,13973241550.0,0,0,0,0,309890.0,166330.0,143560.0,309890.0,0.0,365.0,62.0,4.0,212.0,0.0,داروسازی دانا,فرابورس,مواد و محصولات دارویی,2400000000.0,960000.0,109320000000000.0,6273.0,1402-11-24 03:33:04
ماهور,تابلو,15:08:50,10619.0,10620.0,10619.0,10620.0,10619.0,0.08,0.07,11673.0,9551.0,284459774374.0,0,0,0,0,26787221.0,3559173.0,23228048.0,10435337.0,16351884.0,177.0,77.0,5.0,32.0,8.0,صندوق سرمایه گذاری ماهور-ثابت,صندوق قابل معامله,صندوق سرمایه گذاری قابل معامله,1000000000.0,1.0,10619000000000.0,,1402-11-24 03:33:04
درهآور,تابلو,12:29:50,108500.0,111400.0,106250.0,107700.0,108100.0,1.65,2.03,113350.0,98550.0,28862312400.0,0,0,0,0,266956.0,265686.0,1270.0,233155.0,33801.0,379.0,137.0,2.0,107.0,3.0,دارویی ره آورد تامین,فرابورس,مواد و محصولات دارویی,250000000.0,1.0,27025000000000.0,13578.0,1402-11-24 03:33:04
رمپنا,تابلو,12:29:42,12710.0,12740.0,12370.0,12380.0,12500.0,-1.2,-0.24,13400.0,11660.0,40156352150.0,0,0,0,0,3227802.0,2381678.0,846124.0,1822838.0,1404964.0,452.0,183.0,3.0,105.0,4.0,گروه مپنا (سهامی عام),بورس,خدمات فنی و مهندسی,60000000000.0,9561753.0,750000000000000.0,1631.0,1402-11-24 03:33:04
صنوین,تابلو,14:35:40,183000.0,184410.0,183000.0,184250.0,183290.0,0.78,0.25,201110.0,164550.0,1372868710.0,0,0,0,0,7490.0,1919.0,5571.0,7490.0,0.0,29.0,11.0,1.0,13.0,0.0,صندوق سرمایه گذاری صنوین-مختلط,صندوق قابل معامله,صندوق سرمایه گذاری قابل معامله,100000000.0,1.0,18329000000000.0,,1402-11-24 03:33:04
کارا,تابلو,14:59:43,17004.0,17005.0,17004.0,17004.0,17004.0,0.12,0.12,18681.0,15285.0,2752190399481.0,0,0,0,0,161853349.0,26216696.0,135636653.0,61172709.0,100680640.0,2479.0,721.0,15.0,995.0,34.0,صندوق س. کارا -د,صندوق قابل معامله,صندوق سرمایه گذاری قابل معامله,100000000.0,1.0,1700400000000.0,,1402-11-24 03:33:04
بذر,تابلو,12:20:36,174020.0,175000.0,174020.0,175000.0,174400.0,0.27,-0.07,191980.0,157080.0,10463740.0,0,0,0,0,60.0,23.0,37.0,60.0,0.0,3.0,1.0,1.0,3.0,0.0,صندوق س بذر امید آفرین-سهام,صندوق قابل معامله,صندوق سرمایه گذاری قابل معامله,700000000.0,1.0,122080000000000.0,,1402-11-24 03:33:04
دتوزیع,تابلو,12:29:59,21750.0,23150.0,21750.0,23050.0,22800.0,4.54,3.4,23150.0,20950.0,44463343550.0,0,0,0,0,1949492.0,1949492.0,0.0,1472406.0,477086.0,700.0,165.0,0.0,255.0,4.0,توزیع دارو پخش,فرابورس,مواد و محصولات دارویی,1800000000.0,1.0,41040000000000.0,3254.0,1402-11-24 03:33:04
