,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
0,61842,61842,61842,61842,61362,254351,15729574542,187,تابا,تابان نیرو سپاهان,پایه زرد,61691,61691,61691,61691,61212
1,196838,196838,188001,193580,194487,797886,155178556564,1097,وارس,سرمایه گذاری ارس صبا,پایه زرد,33322,33322,31826,32771,32924
2,28930,28930,28930,28930,28930,6435698,186184743140,1056,امید,تامین سرمایه امید,بورس,12138,12138,12138,12138,12138
3,35300,35300,32600,35300,35040,21670452,759406140130,5575,شدوص,دوده صنعتی پارس,بورس,14535,14535,13423,14535,14428
4,124841,124841,124841,124841,124216,20583,2569602303,18,فسدید,لوله وتجهیزات سدید - ورشکسته,پایه قرمز,124836,124836,124836,124836,124211
5,28590,29080,27000,29070,28270,12285560,347252814980,2831,رکیش,کارت اعتباری ایران کیش,بورس,11123,11313,10504,11310,10998
6,118206,118206,115000,118206,118025,258934,30560653455,466,دقاضی,داروسازی شهید قاضی,پایه زرد,22679,22679,22064,22679,22645
7,26230,26230,26230,26230,25530,941737,24701761510,433,دامین,داروسازی امین,بورس,6050,6050,6050,6050,5889
8,17940,17950,17200,17950,17865,8495976,151779930620,2585,ثغرب,شرکت سرمایه گذاری مسکن شمالغرب,فرابورس,17592,17601,16866,17601,17518
9,17338,17338,17338,17338,17130,2378544,41239195872,2569,وپویا,سرمایه گذاری پویا,فرابورس,5298,5298,5298,5298,5234
10,196040,196040,187640,196040,195690,12089207,2365677449410,16744,شسینا,صنایع شیمیایی سینا,بورس,7744,7744,7413,7744,7731
11,35079,38771,35079,38771,36821,37846615,1393568684738,199564,بگیلان,توسعه مسیر برق گیلان,فرابورس,31091,34363,31091,34363,32635
12,26290,26490,24000,26490,26320,34566653,909764682110,9513,وبوعلی,سرمایه گذاری بوعلی,بورس,2806,2827,2561,2827,2809
13,68665,68665,62127,68665,68288,1920937,131177331375,1329,سلار,شرکت سیمان لارستان,پایه زرد,68139,68139,61651,68139,67764
14,28000,28600,27500,27692,27937,3662613,102323554610,1056,کفرآور,فرآورده های سیمان شرق,پایه زرد,22863,23353,22455,22612,22812
15,15730,15730,15730,15730,15730,9450254,148652495420,974,چفیبر,فیبر ایران,بورس,15686,15686,15686,15686,15686
16,70000,74060,70000,74060,73840,5285235,390280443180,2385,بموتو,موتوژن,بورس,1959,2072,1959,2072,2066
17,13290,13290,13000,13290,13250,47500799,629428056420,9108,ارزش,صندوق س ارزش آفرین بیدار-سهام,نامعلوم,13290,13290,13000,13290,13250
18,23597,23597,23597,23597,23597,1590698,37535700706,234,فلات,گروه صنایع معادن فلات ایرانیان,پایه زرد,23424,23424,23424,23424,23424
19,21550,22100,20400,22100,21547,2323869,50072459080,475,میدکوح,ح.هلدینگ صنایع معدن خاورمیانه,فرابورس,21550,22100,20400,22100,21547
20,98275,98275,94000,98275,97283,1317889,128207766079,1145,وثخوز,سرمایه گذاری و توسعه خوزستان,پایه زرد,94281,94281,90180,94281,93330
21,40820,40820,39690,40820,40810,10959591,447212367080,3034,فروس,فروسیلیس ایران,بورس,3426,3426,3331,3426,3425
22,94319,94319,92510,94319,94301,2398529,226184036752,839,سدبیر,س. تدبیرگران فارس وخوزستان,فرابورس,93077,93077,91292,93077,93059
23,26370,26370,26370,26370,26370,6532180,172253586600,1104,وصندوق,سرمایه گذاری صندوق بازنشستگی,بورس,11315,11315,11315,11315,11315
24,37880,37880,35280,37880,37080,10781438,399821122020,4029,غبشهر,صنعتی بهشهر,بورس,3580,3580,3335,3580,3505
25,19620,19620,19000,19620,19580,14622340,286369999120,3291,وصنا,گروه صنایع بهشهرایران,بورس,3507,3507,3396,3507,3499
26,282220,320000,282000,320000,309210,5395047,1668183569940,43087,دارا یکم,صندوق واسطه گری مالی یکم-سهام,نامعلوم,282220,320000,282000,320000,309210
